PROJECT	SPECTRA_IN_REL_CLUSTERS	CORRECT_SPECTRA	INCORRECT_SPECTRA	CONTAMINANT_CORRECT_SPECTRA	CONTAMINANT_INCORRECT_SPECTRA
PXD000808	12836	12265	571	8	4
PXD000817	954	929	25	1	NA
PXD000834	10598	10573	25	135	NA
PXD000854	719693	673504	46189	9994	591
PXD000858	57382	56389	993	2121	23
PXD000864	224164	221394	2770	25	1
PXD000876	277991	269749	8242	8499	1856
PXD000877	5864	5603	261	158	50
PXD000878	18363	17781	582	451	30
PXD000881	555	542	13	99	1
PXD000887	56177	55082	1095	306	30
PXD000894	29151	28917	234	24	NA
PXD000897	261843	252353	9490	10841	472
PXD000899	11213	10747	466	977	26
PXD000905	130	125	5	NA	NA
PXD000922	57437	57031	406	NA	NA
PXD000923	3443	3421	22	NA	3
PXD000948	52661	52152	509	756	37
PXD000961	3925	3194	731	860	82
PXD000966	38872	38506	366	1366	24
PXD000994	8179	7937	242	896	43
PXD000997	40801	40151	650	1435	80
PXD001000	28839	28692	147	81	2
PXD001006	161219	159948	1271	5012	116
PXD001020	161061	154339	6722	3632	526
PXD001031	3176	3113	63	16	3
PXD001034	31844	31844	NA	1469	NA
PXD001042	2250	2188	62	4	13
PXD001045	13872	13667	205	6723	84
PXD001049	39	39	NA	NA	NA
PXD001054	24295	24132	163	2653	18
PXD001063	2	1	1	1	1
PXD001072	51196	51055	141	NA	29
PXD001073	11	11	NA	NA	NA
PXD001089	110	32	78	NA	60
PXD001090	1258	NA	1258	NA	736
PXD001091	268188	267089	1099	378	63
PXD001099	5273	5272	1	66	NA
PXD001118	31230	30294	936	NA	NA
PXD001156	25417	24459	958	8393	289
PXD001162	98677	97407	1270	1642	72
PXD001167	28710	26851	1859	4	21
PXD001174	46736	46490	246	36407	204
PXD001183	199939	199809	130	55670	17
PXD001210	15542	15496	46	999	19
PXD001212	175	175	NA	NA	NA
PXD001213	87351	87272	79	12592	10
PXD001248	3000	2984	16	2936	15
PXD001267	83501	82006	1495	106	39
PXD001268	32054	31301	753	3924	68
PXD001286	637	633	4	2	NA
PXD001304	1330	1269	61	19	NA
PXD001311	9889	3	9886	NA	636
PXD001323	12462	12	12450	NA	726
PXD001324	318	1	317	1	94
PXD001325	300	NA	300	NA	104
PXD001326	471	NA	471	NA	180
PXD001327	384	NA	384	NA	12
PXD001328	12415	5	12410	NA	839
PXD001349	296315	289931	6384	4176	136
PXD001351	37715	37586	129	973	13
PXD001357	2332	2228	104	531	13
PXD001359	1058	911	147	73	2
PXD001362	16643	15575	1068	1593	67
PXD001386	385538	383401	2137	585	11
PXD001387	52759	46713	6046	5296	1582
PXD001390	41866	2524	39342	321	5804
PXD001401	162904	160146	2758	68	79
PXD001402	350	327	23	204	20
PXD001403	14855	14544	311	1115	16
PXD001415	741	NA	741	NA	46
PXD001416	1750	NA	1750	NA	121
PXD001417	363	1	362	1	72
PXD001418	491	NA	491	NA	19
PXD001419	1711	NA	1711	NA	124
PXD001420	426	3	423	3	176
PXD001421	1432	NA	1432	NA	56
PXD001422	2529	NA	2529	NA	141
PXD001423	312	2	310	2	99
PXD001447	4202	4194	8	1893	4
PXD001461	1492	1486	6	6	NA
PXD001474	366812	354825	11987	17495	342
PXD001492	40932	39664	1268	294	16
PXD001524	877	875	2	122	NA
PXD001528	31428	31419	9	873	NA
PXD001536	30959	30935	24	936	NA
PXD001541	3040	2972	68	NA	NA
PXD001572	70591	70339	252	7774	20
PXD001574	30136	21313	8823	1199	602
PXD001644	63	63	NA	NA	NA
PXD001647	37	27	10	22	9
PXD001649	44750	44724	26	NA	NA
PXD001677	222	201	21	NA	NA
PXD001793	580	528	52	NA	3
PXD001844	20046	20020	26	23	NA
PXD001910	160321	150906	9415	11822	557
